museums1
,MUZEJ / USTANOVA,NASLOV,LAT,LONG,SPLETNA STRAN,ZBIRKA,POVEZAVA,REGIJA,VRSTE PREDMETOV,OBDOBJE / DATACIJA 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,Narodni muzej Slovenije,"Prešernova cesta 20, 1000 Ljubljana",46.052102,14.499316,https://www.nms.si/si/,Zbirka keramike,https://vazcollections.si/zbirke/zbirka-keramike-nms/,"Kitajska, Japonska",Kitajska in japonska keramika,17. do 20. stoletja
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Narodni muzej Slovenije,"Pre_ernova cesta 20, 1000 Ljubljana",46.052102,14.499316,https://www.nms.si/si/,Vzhodnoazijski predmeti v drugih zbirkah,/,"Kitajska, Japonska",Vzhodnoazijski predmeti,17. do 20. stoletja
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,Pokrajinski muzej Celje,"Trg Celjskih knezov 8, 3000 Celje",46.228713,15.260556,https://www.pokmuz-ce.si/sl/,Zbirka Alme M. Karlin (1889-1950),https://vazcollections.si/zbirke/zbirka-alme-karlin-pmc/,"Kitajska, Japonska, Koreja","Fotografije, drobni predmeti, spominki, kitajska keramika, japonski lakirani predmeti, obla_ila in tekstil",zgodnje 20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Pokrajinski muzej Celje,"Trg Celjskih knezov 8, 3000 Celje",46.228713,15.260556,https://www.pokmuz-ce.si/sl/,Zbirka razglednic Alme M. Karlin (1889-1950),https://vazcollections.si/predmeti/raba/razglednice-in-fotografije/zbirka/zbirka-alme-karlin-pmc/,"Kitajska, Japonska, Koreja","kitajske, japonske in korejske razglednice",zgodnje 20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Pokrajinski muzej Celje,"Trg Celjskih knezov 8, 3000 Celje",46.228713,15.260556,https://www.pokmuz-ce.si/sl/,Zbirka predmetov iz Azije in Ju_ne Amerike,https://vazcollections.si/zbirke/zbirka-predmetov-iz-azije-in-juzne-amerike-pmc/,"Kitajska, Japonska, Koreja (?)","japonsko pohi_tvo, japonski lakirani predmeti, samurajska oprema, drobni predmeti",prva polovica 20. stoletja
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Pokrajinski muzej Celje,"Trg Celjskih knezov 8, 3000 Celje",46.228713,15.260556,https://www.pokmuz-ce.si/sl/,Zbirka japonskih grafik,/,Japonska,japonske grafike ukiyo-e,zgodnje 20. stoletje (?)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Pokrajinski muzej Celje,"Trg Celjskih knezov 8, 3000 Celje",46.228713,15.260556,https://www.pokmuz-ce.si/sl/,Kulturno-zgodovinska zbirka,/,"Kitajska, Japonska",Kitajska in japonska keramika,pozno 19. in zgodnje 20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
